Manuel: Merlier, Milan, Groenewegen, Molano, Campenaerts, Thierry
Carson: Welsford, Merlier, Milan, Fretin, Wærenskjold, De Vries
Rihards: Merlier, Kooij, Démare, Milan, Barbier, Mihkels
Inga: Milan, Kooij, Groenewegen, Merlier, Declercq, Gaze
Rogier: Merlier, Kooij, Milan, Jeannière, Walls, Fretin
Jon: Merlier, Milan, Kooij, Fretin, Jeannière, Hesters
Juraj: Merlier, Milan, Kristoff, Kooij, Moscon, Vinokurov
Simis: Milan, Philipsen, Merlier, Fretin, Barbier, Kubiš
Dane: Démare, De Lie, Merlier, Van Lerberghe, Milan, Hesters
John: Pogačar, Van Der Poel, Matthews, Skaarseth, Sütterlin, Azparren
