Juraj: Merlier, Milan, Kristoff, Kooij, Moscon, Vinokurov
Rogier: Merlier, Kooij, Milan, Jeannière, Walls, Fretin
Carson: Welsford, Merlier, Milan, Fretin, Wærenskjold, De Vries
Rihards: Merlier, Kooij, Démare, Milan, Barbier, Mihkels
Simis: Milan, Philipsen, Merlier, Fretin, Barbier, Kubiš
Jon: Merlier, Milan, Kooij, Fretin, Jeannière, Hesters
Inga: Milan, Kooij, Groenewegen, Merlier, Declercq, Gaze
Dane: Démare, De Lie, Merlier, Van Lerberghe, Milan, Hesters
Manuel: Merlier, Milan, Groenewegen, Molano, Campenaerts, Thierry
John: Pogačar, Van Der Poel, Matthews, Skaarseth, Sütterlin, Azparren
