Juraj: Pogačar, Van Der Poel, Ganna, Tjøtta, Sütterlin, Vinokurov
Rogier: Van Der Poel, Ganna, Pedersen, Sütterlin, Vauquelin, Azparren
Carson: Pogačar, Pedersen, Cort, Sobrero, Pluimers, Tulett
Rihards: Pogačar, Van Der Poel, Mihkels, Aular, Askey, Tarozzi
Simis: Pogačar, Milan, Ganna, Tarozzi, Pluimers, Quartucci
Jon: Pedersen, Van Der Poel, Ganna, Tulett, Pluimers, Skaarseth
Inga: Pogačar, Milan, Ganna, Vauquelin, Azparren, Skaarseth
Dane: Pogačar, Turconi, Kooij, Campenaerts, Pedersen, Skaarseth
Manuel: Pogačar, Milan, Ganna, Campenaerts, Hamilton, Tjøtta
John: Pogačar, Van Der Poel, Matthews, Skaarseth, Sütterlin, Azparren
