Juraj: Yates, Ulissi, Del Toro, Carapaz, Rubio, Tulett
Rogier: Carapaz, Yates, Del Toro, Storer, Johannessen, Fortunato
Carson: Tejada, Carapaz, Del Toro, Yates, Johannessen, Storer
Rihards: Del Toro, Fortunato, Bennett, Storer, Tejada, Yates
Simis: Yates, Fortunato, Storer, Tejada, Brenner, Del Toro
Jon: Del Toro, Bettiol, Yates, Carapaz, Formolo, Rubio
Inga: Yates, Bettiol, Ulissi, Ballerini, Del Toro, Fortunato
Dane: Hirschi, Scaroni, Yates, Woods, Storer, Bennett
Manuel: Hirschi, Bettiol, Abrahamsen, Johannessen, Storer, Battistella
John: Pogačar, Mohorič, Cort, Bettiol, Schwarzmann, Stewart
