Dane: Démare, De Lie, Merlier, Van Lerberghe, Milan, Hesters
Rihards: Merlier, Kooij, Démare, Milan, Barbier, Mihkels
John: Pogačar, Van Der Poel, Matthews, Skaarseth, Sütterlin, Azparren
Simis: Milan, Philipsen, Merlier, Fretin, Barbier, Kubiš
Manuel: Merlier, Milan, Groenewegen, Molano, Campenaerts, Thierry
Inga: Milan, Kooij, Groenewegen, Merlier, Declercq, Gaze
Carson: Welsford, Merlier, Milan, Fretin, Wærenskjold, De Vries
Juraj: Merlier, Milan, Kristoff, Kooij, Moscon, Vinokurov
Rogier: Merlier, Kooij, Milan, Jeannière, Walls, Fretin
Jon: Merlier, Milan, Kooij, Fretin, Jeannière, Hesters
